dt,dy,theory,ctime,fac_th,fac_lab,cid,,,,,,,,,,,,,,,,,,,
2022-12-03,Tuesday,"Web Technology  
Software Development Methodologies","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Gini ,Ms Saruti,100,,,,,,,,,,,,,,,,,,,
2022-12-04,Wednesday,"Web Technology  
Software Development Methodologies","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Gini ,Ms Saruti,100,,,,,,,,,,,,,,,,,,,
2022-12-05,Thursday,"Web Technology  
Software Development Methodologies","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Gini ,Ms Saruti,100,,,,,,,,,,,,,,,,,,,
2022-12-06,Friday,"Web Technology  
Software Development Methodologies","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Gini ,Ms Saruti,100,,,,,,,,,,,,,,,,,,,
2022-12-07,Saturday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-12-08,Sunday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-12-09,Monday,"Software Development Methodologies 
Web based Java 
","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Saruti,Ms Anu,100,,,,,,,,,,,,,,,,,,,
2022-12-10,Tuesday,"Software Development Methodologies 
Web based Java 
","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Ms Saruti,Ms Anu,100,,,,,,,,,,,,,,,,,,,
2022-12-11,Wednesday,"Web based Java 
Microsoft .Net Framework","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Mr. Anu ,Mr Nimesh,100,,,,,,,,,,,,,,,,,,,
2022-12-12,Thursday,"Web based Java 
Microsoft .Net Framework","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Mr. Anu ,Mr Nimesh,100,,,,,,,,,,,,,,,,,,,
2022-12-13,Friday,"Web based Java 
Microsoft .Net Framework","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Mr. Anu ,Mr Nimesh,100,,,,,,,,,,,,,,,,,,,
2022-12-14,Saturday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-12-15,Sunday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-12-16,Monday,"Web based Java 
Microsoft .Net Framework","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Mr. Anu ,Mr Nimesh,100,,,,,,,,,,,,,,,,,,,
2022-12-17,Tuesday,"Web based Java 
Microsoft .Net Framework","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Mr. Anu ,Mr Nimesh,100,,,,,,,,,,,,,,,,,,,
2022-12-18,Wednesday,"Web based Java 
Microsoft .Net Framework","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Mr. Anu ,Mr Nimesh,100,,,,,,,,,,,,,,,,,,,
2022-12-19,Thursday,"Web based Java 
Microsoft .Net Framework","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Mr. Anu ,Mr Nimesh,100,,,,,,,,,,,,,,,,,,,
2022-12-20,Friday,"Web based Java 
Microsoft .Net Framework","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Mr. Anu ,Mr Nimesh,100,,,,,,,,,,,,,,,,,,,
2022-12-21,Saturday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-12-22,Sunday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-12-23,Monday,"Web based Java 
Microsoft .Net Framework","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Mr. Anu ,Mr Nimesh,100,,,,,,,,,,,,,,,,,,,
2022-12-24,Tuesday,"Web based Java 
Microsoft .Net Framework","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Mr. Anu ,Mr Nimesh,100,,,,,,,,,,,,,,,,,,,
2022-12-25,Wednesday,Christmas,,,,100,,,,,,,,,,,,,,,,,,,
2022-12-26,Thursday,"Web based Java 
Microsoft .Net Framework","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Mr. Anu ,Mr Nimesh,100,,,,,,,,,,,,,,,,,,,
2022-12-27,Friday,"Web based Java 
Microsoft .Net Framework","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Mr. Anu ,Mr Nimesh,100,,,,,,,,,,,,,,,,,,,
2022-12-28,Saturday,"Web based Java 
Microsoft .Net Framework","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Mr. Anu ,Mr Nimesh,100,,,,,,,,,,,,,,,,,,,
2022-12-29,Sunday,,,,,100,,,,,,,,,,,,,,,,,,,
2022-12-30,Monday,"Web based Java 
Microsoft .Net Framework","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Mr. Anu ,Mr Nimesh,100,,,,,,,,,,,,,,,,,,,
2022-12-31,Tuesday,"Web based Java 
Microsoft .Net Framework","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Mr. Anu ,Mr Nimesh,100,,,,,,,,,,,,,,,,,,,
2023-01-01,Wednesday,"Web based Java 
Microsoft .Net Framework","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Mr. Anu ,Mr Nimesh,100,,,,,,,,,,,,,,,,,,,
2023-01-02,Thursday,"Web based Java 
Microsoft .Net Framework","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Mr. Anu ,Mr Nimesh,100,,,,,,,,,,,,,,,,,,,
2023-01-03,Friday,"Web based Java 
Microsoft .Net Framework","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Mr. Anu ,Mr Nimesh,100,,,,,,,,,,,,,,,,,,,
2023-01-04,Saturday,,,,,100,,,,,,,,,,,,,,,,,,,
2023-01-05,Sunday,,,,,100,,,,,,,,,,,,,,,,,,,
2023-01-06,Monday,"Web based Java 
Microsoft .Net Framework","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Mr. Anu ,Mr Nimesh,100,,,,,,,,,,,,,,,,,,,
2023-01-07,Tuesday,"Web based Java 
Microsoft .Net Framework","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Mr. Anu ,Mr Nimesh,100,,,,,,,,,,,,,,,,,,,
2023-01-08,Wednesday,"Web based Java 
Microsoft .Net Framework","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Mr. Anu ,Mr Nimesh,100,,,,,,,,,,,,,,,,,,,
2023-01-09,Thursday,"Web based Java 
Microsoft .Net Framework","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Mr. Anu ,Mr Nimesh,100,,,,,,,,,,,,,,,,,,,
2023-01-10,Friday,"Web based Java 
Microsoft .Net Framework","9:30 am -1:30 pm
2:15 pm- 6:15 pm",Mr. Anu ,Mr Nimesh,100,,,,,,,,,,,,,,,,,,,
2023-01-11,Saturday,,,,,100,,,,,,,,,,,,,,,,,,,
2023-01-12,Sunday,,,,,100,,,,,,,,,,,,,,,,,,,
2023-01-13,Monday,CCEE Preparation,,CCEE Preparation,,100,,,,,,,,,,,,,,,,,,,
2023-01-14,Tuesday,CCEE Preparation,,CCEE Preparation,,100,,,,,,,,,,,,,,,,,,,
2023-01-15,Wednesday,CCEE Preparation,,CCEE Preparation,,100,,,,,,,,,,,,,,,,,,,
2023-01-16,Thursday,CCEE Preparation,,CCEE Preparation,,100,,,,,,,,,,,,,,,,,,,
2023-01-17,Friday,CCEE Preparation,,CCEE Preparation,,100,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
